DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	Year of isolation
COLOR	#444444
COLOR_MIN	#2166AC
COLOR_MAX	#B2182B
FIELD_LABELS	Year
DATA
cro810A3	2012
KubGAU_B-268	2025
MOD1_WNTSBCO4	2015
S054-001	2023
S053-001	2023
CFSAN135223	2023
CFSAN140976	2024
25MDFML003374-2A	2025
25MDFML003369-4A	2025
25MDFML003369-3A	2025
25MDFML004503-1A	2025
CFSAN129441	2022
MOD1_LR7365	2004
CH84	2017
CH43	2016
CH44	2016
CH65	2015
CH45	2016
716	1994
CFSAN138565	2024
HA18074	2018
2001-10-06	2001
CFSAN141446	2025
CFSAN141625	2025
cro1489B1	2013
CFSAN080751	1982
bq	2022
CFSAN080747	1982
SC16	2011
CS291	2017
CS6162	2017
CS-42	2006
CE52	2010
CFSAN142785	2025
CRZK	2015
S071-004	2023
CFSAN145334	2025
