Sample,ST,MOB-suit Localizaion,Year of isolation,Country
CFSAN080751,ST13,Predicted chromosome,1982,Canada
CFSAN080747,ST4,Plasmid-associated,1982,Canada
716,ST14,Predicted chromosome,1994,France
2001-10-06,ST1,Predicted chromosome,2001,Not Provided
MOD1_LR736,ST1,Predicted chromosome,2004,USA
CS-42,ST21,Plasmid-associated,2006,Canada
CE52,ST21,Plasmid-associated,2010,China
SC16,ST4,Plasmid-associated,2011,China
cro810A3,ST1,Predicted chromosome,2012,China
cro1489B1,ST8,Predicted chromosome,2013,China
MOD1_WNTSBCO4,ST1,Predicted chromosome,2015,USA
CH65,ST1,Plasmid-associated,2015,Chile
CRZK,ST256,Plasmid-associated,2015,China
CH45,ST1,Predicted chromosome,2016,Chile
CH43,ST1,Predicted chromosome,2016,Chile
CH44,ST1,Predicted chromosome,2016,Chile
CS291,ST4,Plasmid-associated,2017,China
CH84,ST1,Predicted chromosome,2017,Chile
CS6162,ST4,Predicted chromosome,2017,China
HA18074,ST1,Predicted chromosome,2018,China
CFSAN129441,ST1,Predicted chromosome,2022,USA
bq,ST13,Plasmid-associated,2022,China
S071-004,ST148,Predicted chromosome,2023,USA
S053-001,ST1,Predicted chromosome,2023,USA
S054-001,ST1,Predicted chromosome,2023,USA
CFSAN135223,ST1,Predicted chromosome,2023,USA
CFSAN138565,ST1,Predicted chromosome,2024,USA
CFSAN140976,ST1,Predicted chromosome,2024,USA
1011-04,ST13,Predicted chromosome,missing,USA
25MDFML003369-3A,ST1,Predicted chromosome,2025,USA
25MDFML003369-4A,ST1,Predicted chromosome,2025,USA
CFSAN141625,ST1,Predicted chromosome,2025,Ireland
CFSAN141446,ST1,Predicted chromosome,2025,Ireland
KubGAU_B-268,ST1,Predicted chromosome,2025,Russia
CFSAN142785,ST21,Plasmid-associated,2025,Ireland
25MDFML004503-1A,ST1,Predicted chromosome,2025,USA
25MDFML003374-2A,ST1,Predicted chromosome,2025,"	USA"
CFSAN145334,ST148,Predicted chromosome,2025,USA
