Sample,ST,Genetic_architecture,Orientation,IS_elements,Intergenic_distances_overlaps,,,,,,,,,,,,
1011-04,ST13,mcr-9.1 – wbuC – qseC – qseB – IS481,mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-),IS481,mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp,,,,,,,,,,,,
2001-10-06,ST1,IS481 – qseB – qseC – wbuC – mcr-9.1 – IS903B,IS481(+); qseB(+); qseC(+); wbuC(-); mcr-9.1(-); IS903B(-),IS481; IS903B,IS481–qseB: 192 bp; qseB–qseC: overlap 26 bp; qseC–wbuC: 211 bp; wbuC–mcr-9.1: 75 bp; mcr-9.1–IS903B: 187 bp,,,,,,,,,,,,
25MDFML003369-3A,ST1,IS903B – mcr-9.1 – wbuC – qseC – qseB – IS481 – IS26,IS903B(+); mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-); IS26(-),IS903B; IS481; IS26,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp; IS481–IS26: 948 bp,,,,,,,,,,,,
25MDFML003369-4A,ST1,IS903B – mcr-9.1 – wbuC – qseC – qseB – IS481 – IS26,IS903B(+); mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-); IS26(-),IS903B; IS481; IS26,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp; IS481–IS26: 948 bp,,,,,,,,,,,,
25MDFML003374-2A,ST1,IS26 – IS481 – qseB – qseC – wbuC – mcr-9.1 – IS903B,IS26(+); IS481(+); qseB(+); qseC(+); wbuC(-); mcr-9.1(-); IS903B(-),IS26; IS481; IS903B,IS26–IS481: 948 bp; IS481–qseB: 192 bp; qseB–qseC: overlap 26 bp; qseC–wbuC: 211 bp; wbuC–mcr-9.1: 75 bp; mcr-9.1–IS903B: 187 bp,,,,,,,,,,,,
25MDFML004503-1A,ST1,IS903B – mcr-9.1 – wbuC – qseC – qseB – IS481 – IS26,IS903B(+); mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-); IS26(-),IS903B; IS481; IS26,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp; IS481–IS26: 948 bp,,,,,,,,,,,,
716,ST14,IS903B – mcr-9.1 – wbuC – qseC – qseB – IS481,IS903B(+); mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-),IS903B; IS481,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp,,,,,,,,,,,,
CE52,ST21,mcr-9.1 – wbuC – qseC – qseB – IS481,mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-),IS481,mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp,,,,,,,,,,,,
CFSAN080747,ST4,IS903B – mcr-9.1 – wbuC – qseC – qseB – IS481,IS903B(+); mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-),IS903B; IS481,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp,,,,,,,,,,,,
CFSAN080751,ST13,mcr-9.1 – wbuC – qseC – qseB – IS481,mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-),IS481,mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp,,,,,,,,,,,,
CFSAN129441,ST1,IS903B – mcr-9.1 – wbuC – qseC – qseB – IS481 – IS26,IS903B(+); mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-); IS26(-),IS903B; IS481; IS26,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp; IS481–IS26: 948 bp,,,,,,,,,,,,
CFSAN135223,ST1,IS26 – wbuC – mcr-9.1 – IS903B,IS26(-); wbuC(-); mcr-9.1(-); IS903B(-),IS26; IS903B,IS26–wbuC: 164 bp; wbuC–mcr-9.1: 75 bp; mcr-9.1–IS903B: 187 bp,,,,,,,,,,,,
CFSAN138565,ST1,IS26 – IS481 – qseB – qseC – wbuC – mcr-9.1 – IS903B,IS26(+); IS481(+); qseB(+); qseC(+); wbuC(-); mcr-9.1(-); IS903B(-),IS26; IS481; IS903B,IS26–IS481: 948 bp; IS481–qseB: 192 bp; qseB–qseC: overlap 26 bp; qseC–wbuC: 211 bp; wbuC–mcr-9.1: 75 bp; mcr-9.1–IS903B: 187 bp,,,,,,,,,,,,
CFSAN140976,ST1,IS26 – wbuC – mcr-9.1 – IS903B,IS26(-); wbuC(-); mcr-9.1(-); IS903B(-),IS26; IS903B,IS26–wbuC: 164 bp; wbuC–mcr-9.1: 75 bp; mcr-9.1–IS903B: 187 bp,,,,,,,,,,,,
CFSAN141446,ST1,IS26 – IS481 – qseB – qseC – wbuC – mcr-9.1 – IS903B,IS26(+); IS481(+); qseB(+); qseC(+); wbuC(-); mcr-9.1(-); IS903B(-),IS26; IS481; IS903B,IS26–IS481: 948 bp; IS481–qseB: 192 bp; qseB–qseC: overlap 26 bp; qseC–wbuC: 211 bp; wbuC–mcr-9.1: 75 bp; mcr-9.1–IS903B: 187 bp,,,,,,,,,,,,
CFSAN141625,ST1,IS903B – mcr-9.1 – wbuC – qseC – qseB – IS481 – IS26,IS903B(+); mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-); IS26(-),IS903B; IS481; IS26,IS903B–mcr-9.1: 187 bp; mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp; IS481–IS26: 948 bp,,,,,,,,,,,,
CFSAN142785,ST21,mcr-9.1 – wbuC – qseC – qseB – IS481,mcr-9.1(+); wbuC(+); qseC(-); qseB(-); IS481(-),IS481,mcr-9.1–wbuC: 75 bp; wbuC–qseC: 211 bp; qseC–qseB: overlap 26 bp; qseB–IS481: 192 bp,,,,,,,,,,,,
