Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,S071-004,LMG_23826,25MDFML003374-2A,MOD1_WNTSBCO4,10_6_2001,716,CS-42,CFSAN145334,CRZK,bq,CFSAN080751,1011-04,CFSAN142785,CS6162,CH43,CH65,CH44,CFSAN141446,CH84,CFSAN080747,25MDFML003369-4A,CS291,KubGAU_B-268,CFSAN129441,cro810A3,cro1489B1,HA18074,CFSAN141625,25MDFML004503-1A,25MDFML003369-3A,CH45,SC16,MOD1_LR736,CE52,CFSAN140976,CFSAN138565,CFSAN135223,S054-001,S053-001
group_3875,,hypothetical protein,39,39,1,119,1,,,,144,144,144,0_refound_8,1_refound_24,2_refound_39,3_refound_66,4_refound_96,5_refound_125,6_refound_148,7_refound_174,8_refound_199,9_refound_225,10_refound_259,11_refound_289,FIMNDECN_00161,13_refound_341,14_refound_377,15_refound_397,16_refound_416,17_refound_442,18_refound_468,19_refound_494,20_refound_526,21_refound_557,22_refound_588,23_refound_622,24_refound_680,25_refound_740,26_refound_774,27_refound_802,28_refound_831,29_refound_858,30_refound_883,31_refound_906,32_refound_951,33_refound_975,34_refound_1001,35_refound_1032,36_refound_1065,37_refound_1096,38_refound_1122
group_3402,,hypothetical protein,39,39,1,15,1,,,,156,156,156,0_refound_1,NCDGGIKE_01084,2_refound_29,3_refound_57,4_refound_84,5_refound_119,6_refound_142,7_refound_167,8_refound_193,9_refound_220,10_refound_246,11_refound_275,12_refound_306,13_refound_331,14_refound_370,15_refound_392,16_refound_408,17_refound_433,18_refound_461,19_refound_488,20_refound_516,21_refound_544,22_refound_579,23_refound_609,24_refound_666,25_refound_732,26_refound_765,27_refound_791,28_refound_822,29_refound_847,30_refound_875,31_refound_895,32_refound_942,33_refound_967,34_refound_992,35_refound_1017,36_refound_1055,37_refound_1084,38_refound_1113
phoH,phoH,Protein PhoH,39,39,1,1,6665,,,,789,789,789,COBAIANA_03244,NCDGGIKE_02412,KEJBGJNJ_00357,JELDIHCN_00255,PBHEHNGA_00574,DALMCLCA_04078,ONIJJAOC_02183,OLEGOONE_02166,CMJCGDBJ_01081,FDIPHMPI_01444,GAFMEKNJ_01087,JJCAEOCL_02151,FIMNDECN_02477,BOLFLKJN_02024,MONHGDDE_01784,HENDCIDF_00375,BGHDJHLL_02368,MLDDBGFK_03068,OBCFPDNM_00236,PDLMEAGH_00906,MIEBPKLG_00145,FAKIMOAG_01119,AAJLDHNL_01844,HFELHBKN_00951,FPIHAPOB_01649,PLNCNKBH_03848,IMMFCMMB_01662,BDMJLJKB_00145,MDDFFGJE_02255,ADGPNKPL_00145,MFAJDMJN_02613,HOGJFGMH_00947,BFJHMAPM_01457,JFGMPIEF_00938,DOHFHPBA_00648,OAICLECK_00110,HGGDPEND_00715,PGNFGNII_00648,PDCFMNHJ_00647
uspE,uspE,Universal stress protein E,39,39,1,1,6652,,,,957,957,957,COBAIANA_01100,NCDGGIKE_02078,KEJBGJNJ_03862,JELDIHCN_02469,PBHEHNGA_01878,DALMCLCA_02219,ONIJJAOC_00078,OLEGOONE_02022,CMJCGDBJ_01638,FDIPHMPI_01778,GAFMEKNJ_00585,JJCAEOCL_02820,FIMNDECN_01583,BOLFLKJN_03331,MONHGDDE_02894,HENDCIDF_03405,BGHDJHLL_03056,MLDDBGFK_01247,OBCFPDNM_02996,PDLMEAGH_01018,MIEBPKLG_00512,FAKIMOAG_00123,AAJLDHNL_03082,HFELHBKN_02264,FPIHAPOB_01768,PLNCNKBH_03131,IMMFCMMB_03154,BDMJLJKB_02153,MDDFFGJE_03187,ADGPNKPL_00511,MFAJDMJN_02839,HOGJFGMH_00570,BFJHMAPM_00868,JFGMPIEF_02330,DOHFHPBA_00294,OAICLECK_00708,HGGDPEND_00497,PGNFGNII_00294,PDCFMNHJ_00293
ogt,ogt,Methylated-DNA--protein-cysteine methyltransferase,39,39,1,1,6651,,,,516,516,516,COBAIANA_01098,NCDGGIKE_02076,KEJBGJNJ_03860,JELDIHCN_02471,PBHEHNGA_01876,DALMCLCA_02221,ONIJJAOC_00080,OLEGOONE_02020,CMJCGDBJ_01640,FDIPHMPI_01780,GAFMEKNJ_00583,JJCAEOCL_03913,FIMNDECN_01585,BOLFLKJN_03333,MONHGDDE_02896,HENDCIDF_03407,BGHDJHLL_03054,MLDDBGFK_01245,OBCFPDNM_02998,PDLMEAGH_01016,MIEBPKLG_00514,FAKIMOAG_00125,AAJLDHNL_03080,HFELHBKN_02262,FPIHAPOB_01766,PLNCNKBH_03129,IMMFCMMB_03156,BDMJLJKB_02151,MDDFFGJE_03185,ADGPNKPL_00513,MFAJDMJN_02841,HOGJFGMH_00568,BFJHMAPM_00870,JFGMPIEF_02328,DOHFHPBA_00292,OAICLECK_00706,HGGDPEND_00495,PGNFGNII_00292,PDCFMNHJ_00291
group_3310,,hypothetical protein,39,39,1,1,6650,,,,1188,1188,1188,COBAIANA_01089,NCDGGIKE_02067,KEJBGJNJ_03851,JELDIHCN_02480,PBHEHNGA_01867,DALMCLCA_02752,ONIJJAOC_00089,OLEGOONE_02011,CMJCGDBJ_01649,FDIPHMPI_01789,GAFMEKNJ_00574,JJCAEOCL_03922,FIMNDECN_01594,BOLFLKJN_03345,MONHGDDE_02905,HENDCIDF_03416,BGHDJHLL_03045,MLDDBGFK_01236,OBCFPDNM_03007,PDLMEAGH_01006,MIEBPKLG_00523,FAKIMOAG_00136,AAJLDHNL_03071,HFELHBKN_02253,FPIHAPOB_01757,PLNCNKBH_03120,IMMFCMMB_03165,BDMJLJKB_02142,MDDFFGJE_03176,ADGPNKPL_00522,MFAJDMJN_02850,HOGJFGMH_00558,BFJHMAPM_00879,JFGMPIEF_02319,DOHFHPBA_00283,OAICLECK_00697,HGGDPEND_00486,PGNFGNII_00283,PDCFMNHJ_00282
yagG_2,yagG_2,Putative glycoside/cation symporter YagG,39,39,1,1,6649,,,,1404,1404,1404,COBAIANA_01087,NCDGGIKE_02065,KEJBGJNJ_03849,JELDIHCN_02482,PBHEHNGA_01865,DALMCLCA_02750,ONIJJAOC_00091,OLEGOONE_02009,CMJCGDBJ_01651,FDIPHMPI_01791,GAFMEKNJ_00572,JJCAEOCL_03924,FIMNDECN_01596,BOLFLKJN_03347,MONHGDDE_02907,HENDCIDF_03418,BGHDJHLL_03043,MLDDBGFK_01234,OBCFPDNM_03009,PDLMEAGH_01004,MIEBPKLG_00525,FAKIMOAG_00138,AAJLDHNL_03069,HFELHBKN_02251,FPIHAPOB_01755,PLNCNKBH_03118,IMMFCMMB_03167,BDMJLJKB_02140,MDDFFGJE_03174,ADGPNKPL_00524,MFAJDMJN_02852,HOGJFGMH_00556,BFJHMAPM_00881,JFGMPIEF_02317,DOHFHPBA_00281,OAICLECK_00695,HGGDPEND_00484,PGNFGNII_00281,PDCFMNHJ_00280
group_3309,,hypothetical protein,39,39,1,1,6648,,,,138,138,138,COBAIANA_01084,NCDGGIKE_02062,KEJBGJNJ_03846,JELDIHCN_02485,PBHEHNGA_01862,DALMCLCA_02747,ONIJJAOC_00094,OLEGOONE_02006,CMJCGDBJ_01654,FDIPHMPI_01794,GAFMEKNJ_00569,JJCAEOCL_03927,FIMNDECN_01599,BOLFLKJN_03350,MONHGDDE_02910,HENDCIDF_03421,BGHDJHLL_03040,MLDDBGFK_01231,OBCFPDNM_03012,PDLMEAGH_01001,MIEBPKLG_00528,FAKIMOAG_00141,AAJLDHNL_03066,HFELHBKN_02248,FPIHAPOB_01752,PLNCNKBH_00535,IMMFCMMB_03170,BDMJLJKB_02137,MDDFFGJE_03171,ADGPNKPL_00527,MFAJDMJN_02855,HOGJFGMH_00553,BFJHMAPM_00884,JFGMPIEF_02314,DOHFHPBA_00278,OAICLECK_00692,HGGDPEND_00481,PGNFGNII_00278,PDCFMNHJ_00277
yaaA,yaaA,Peroxide stress resistance protein YaaA,39,39,1,1,6647,,,,774,774,774,COBAIANA_02685,NCDGGIKE_03288,KEJBGJNJ_02781,JELDIHCN_02335,PBHEHNGA_01351,DALMCLCA_02250,ONIJJAOC_02889,OLEGOONE_01171,CMJCGDBJ_02581,FDIPHMPI_00591,GAFMEKNJ_04069,JJCAEOCL_03747,FIMNDECN_02036,BOLFLKJN_03710,MONHGDDE_02587,HENDCIDF_02749,BGHDJHLL_00324,MLDDBGFK_01406,OBCFPDNM_01990,PDLMEAGH_03375,MIEBPKLG_01819,FAKIMOAG_01567,AAJLDHNL_02419,HFELHBKN_01932,FPIHAPOB_03724,PLNCNKBH_02192,IMMFCMMB_02728,BDMJLJKB_01053,MDDFFGJE_00181,ADGPNKPL_01286,MFAJDMJN_00324,HOGJFGMH_02031,BFJHMAPM_03597,JFGMPIEF_02798,DOHFHPBA_01999,OAICLECK_01370,HGGDPEND_02695,PGNFGNII_01396,PDCFMNHJ_00925
cydB_1,cydB_1,Cytochrome bd-I ubiquinol oxidase subunit 2,39,39,1,1,6646,,,,1011,1011,1011,COBAIANA_01083,NCDGGIKE_02061,KEJBGJNJ_03845,JELDIHCN_02486,PBHEHNGA_01861,DALMCLCA_02746,ONIJJAOC_00095,OLEGOONE_02005,CMJCGDBJ_01655,FDIPHMPI_01795,GAFMEKNJ_00568,JJCAEOCL_03928,FIMNDECN_01600,BOLFLKJN_03351,MONHGDDE_02911,HENDCIDF_03422,BGHDJHLL_03039,MLDDBGFK_01230,OBCFPDNM_03013,PDLMEAGH_01000,MIEBPKLG_00529,FAKIMOAG_00142,AAJLDHNL_03065,HFELHBKN_02247,FPIHAPOB_01751,PLNCNKBH_00536,IMMFCMMB_03171,BDMJLJKB_02136,MDDFFGJE_03170,ADGPNKPL_00528,MFAJDMJN_02856,HOGJFGMH_00552,BFJHMAPM_00885,JFGMPIEF_02313,DOHFHPBA_00277,OAICLECK_00691,HGGDPEND_00480,PGNFGNII_00277,PDCFMNHJ_00276
